pc_timestamp,elapsed_s,arduino_date,arduino_time,uptime_s,sht30_temp_C,sht30_humidity_pct,bme688_1_temp_C,bme688_1_humidity_pct,bme688_1_pressure_hpa,bme688_1_gas_ohms,bme688_2_temp_C,bme688_2_humidity_pct,bme688_2_pressure_hpa,bme688_2_gas_ohms,as7341_f1,as7341_f2,as7341_f3,as7341_f4,as7341_clear,as7341_nir,stepper_speed_pct,pump_speed_pct,pump_state
2026-06-30 11:37:47,3.5,2026-06-18,12:00:01,1.0,-45.0,45.61,27.59,43.12,1012.48,25713.0,28.8,43.71,1012.74,51271.0,134.0,396.0,749.0,1000.0,1000.0,327.0,0.0,60.0,ON
2026-06-30 11:37:49,5.76,2026-06-18,12:00:03,3.0,25.88,45.57,27.42,42.82,1012.5,24758.0,28.61,43.43,1012.75,46664.0,136.0,399.0,754.0,1000.0,1000.0,330.0,0.0,60.0,ON
2026-06-30 11:37:51,8.02,2026-06-18,12:00:05,5.0,25.89,45.58,27.28,42.84,1012.5,24182.0,28.45,43.51,1012.74,45086.0,135.0,395.0,750.0,1000.0,1000.0,329.0,0.0,60.0,ON
2026-06-30 11:37:54,10.28,2026-06-18,12:00:08,8.0,25.88,45.59,27.17,42.9,1012.5,23555.0,28.32,43.77,1012.74,43214.0,137.0,403.0,761.0,1000.0,1000.0,336.0,0.0,60.0,ON
2026-06-30 11:37:56,12.53,2026-06-18,12:00:10,10.0,25.88,45.62,27.09,42.96,1012.51,22662.0,28.22,43.99,1012.75,42866.0,134.0,393.0,747.0,1000.0,1000.0,330.0,0.0,60.0,ON
2026-06-30 11:37:58,14.79,2026-06-18,12:00:12,12.0,25.88,45.62,27.02,43.02,1012.51,22237.0,28.15,44.0,1012.75,42652.0,136.0,404.0,763.0,1000.0,1000.0,336.0,0.0,60.0,ON
2026-06-30 11:38:00,17.05,2026-06-18,12:00:14,14.0,25.88,45.61,26.98,43.06,1012.51,22053.0,28.09,44.17,1012.75,42022.0,134.0,392.0,743.0,1000.0,1000.0,324.0,0.0,60.0,ON
2026-06-30 11:38:03,19.31,2026-06-18,12:00:17,17.0,25.9,45.6,26.94,43.08,1012.51,21985.0,28.05,44.15,1012.75,42482.0,136.0,400.0,757.0,1000.0,1000.0,331.0,0.0,60.0,ON
2026-06-30 11:38:05,21.57,2026-06-18,12:00:19,19.0,25.88,45.61,26.91,43.08,1012.52,21672.0,28.02,43.99,1012.75,43083.0,134.0,395.0,746.0,1000.0,1000.0,327.0,0.0,60.0,ON
2026-06-30 11:38:07,23.83,2026-06-18,12:00:21,21.0,25.88,45.61,26.89,43.13,1012.52,21411.0,27.99,43.83,1012.76,43389.0,135.0,398.0,755.0,1000.0,1000.0,330.0,0.0,60.0,ON
2026-06-30 11:38:09,26.09,2026-06-18,12:00:23,23.0,25.89,45.63,26.87,43.15,1012.52,21283.0,27.98,43.9,1012.76,41653.0,134.0,395.0,748.0,1000.0,1000.0,330.0,0.0,60.0,ON
2026-06-30 11:38:12,28.35,2026-06-18,12:00:26,26.0,25.89,45.63,26.86,43.16,1012.52,21073.0,27.96,44.45,1012.76,38882.0,134.0,393.0,744.0,1000.0,1000.0,330.0,0.0,60.0,ON
2026-06-30 11:38:14,30.61,2026-06-18,12:00:28,28.0,25.89,45.62,26.85,43.18,1012.53,20625.0,27.96,44.98,1012.76,37481.0,136.0,399.0,756.0,1000.0,1000.0,333.0,0.0,60.0,ON
2026-06-30 11:38:16,32.87,2026-06-18,12:00:30,30.0,25.89,45.6,26.85,43.22,1012.53,20427.0,27.95,45.69,1012.76,35078.0,136.0,402.0,761.0,1000.0,1000.0,334.0,0.0,60.0,ON
2026-06-30 11:38:18,35.12,2026-06-18,12:00:33,33.0,25.9,45.59,26.84,43.23,1012.52,20291.0,27.94,46.21,1012.75,33934.0,136.0,403.0,761.0,1000.0,1000.0,336.0,0.0,60.0,ON
2026-06-30 11:38:21,37.37,2026-06-18,12:00:35,35.0,25.88,45.59,26.84,43.21,1012.52,20330.0,27.94,46.94,1012.76,31000.0,136.0,401.0,757.0,1000.0,1000.0,335.0,0.0,60.0,ON
2026-06-30 11:38:23,39.62,2026-06-18,12:00:37,37.0,25.88,45.59,26.83,43.2,1012.52,20330.0,27.94,47.63,1012.77,29117.0,136.0,403.0,760.0,1000.0,1000.0,335.0,0.0,60.0,ON
2026-06-30 11:38:25,41.87,2026-06-18,12:00:39,39.0,25.88,45.59,26.83,43.2,1012.53,20253.0,27.94,48.21,1012.77,27344.0,134.0,387.0,734.0,1000.0,1000.0,328.0,0.0,60.0,ON
2026-06-30 11:38:27,44.12,2026-06-18,12:00:42,42.0,25.89,45.59,26.83,43.23,1012.53,19912.0,27.94,48.65,1012.77,26495.0,135.0,397.0,751.0,1000.0,1000.0,331.0,0.0,60.0,ON
2026-06-30 11:38:30,46.37,2026-06-18,12:00:44,44.0,25.88,45.59,26.83,43.25,1012.53,20006.0,27.93,48.16,1012.76,28628.0,135.0,400.0,755.0,1000.0,1000.0,331.0,0.0,60.0,ON
2026-06-30 11:38:32,48.62,2026-06-18,12:00:46,46.0,25.89,45.59,26.83,43.24,1012.52,19987.0,27.93,47.07,1012.76,31295.0,135.0,400.0,756.0,1000.0,1000.0,333.0,0.0,60.0,ON
