pc_timestamp,elapsed_s,arduino_date,arduino_time,uptime_s,sht30_temp_C,sht30_humidity_pct,bme688_1_temp_C,bme688_1_humidity_pct,bme688_1_pressure_hpa,bme688_1_gas_ohms,bme688_2_temp_C,bme688_2_humidity_pct,bme688_2_pressure_hpa,bme688_2_gas_ohms,as7341_f1,as7341_f2,as7341_f3,as7341_f4,as7341_clear,as7341_nir,stepper_speed_pct,pump_speed_pct,pump_state
2026-06-29 18:07:31,2.01,6-18,12:10:12,612.0,26.94,48.0,27.72,45.41,1010.36,55363.0,27.27,47.55,1010.6,162179.0,10.0,7.0,20.0,15.0,249.0,28.0,0.0,60.0,ON
2026-06-29 18:07:31,2.02,2026-06-18,12:10:12,612.0,26.94,48.0,27.72,45.41,1010.36,55363.0,27.27,47.55,1010.6,162179.0,10.0,7.0,20.0,15.0,249.0,28.0,0.0,60.0,ON
2026-06-29 18:07:32,3.5,2026-06-18,12:00:01,1.0,-45.0,48.05,28.62,45.26,1010.3,63382.0,28.18,47.68,1010.58,200626.0,10.0,7.0,20.0,14.0,247.0,28.0,0.0,60.0,ON
2026-06-29 18:07:34,5.76,2026-06-18,12:00:03,3.0,26.94,48.0,28.42,44.93,1010.32,61068.0,27.99,47.23,1010.59,181882.0,11.0,7.0,20.0,14.0,246.0,28.0,0.0,60.0,ON
2026-06-29 18:07:37,8.02,2026-06-18,12:00:05,5.0,26.93,48.02,28.26,44.97,1010.33,59827.0,27.83,47.27,1010.59,174090.0,11.0,8.0,20.0,15.0,248.0,28.0,0.0,60.0,ON
2026-06-29 18:07:39,10.28,2026-06-18,12:00:08,8.0,26.95,48.01,28.14,45.06,1010.34,58756.0,27.7,47.33,1010.58,169424.0,10.0,7.0,20.0,15.0,247.0,28.0,0.0,60.0,ON
2026-06-29 18:07:41,12.54,2026-06-18,12:00:10,10.0,26.94,48.02,28.04,45.16,1010.35,57879.0,27.6,47.42,1010.58,168754.0,10.0,7.0,20.0,14.0,247.0,28.0,0.0,60.0,ON
2026-06-29 18:07:43,14.79,2026-06-18,12:00:12,12.0,26.94,48.05,27.97,45.21,1010.35,57334.0,27.53,47.47,1010.58,170439.0,11.0,7.0,20.0,14.0,248.0,28.0,0.0,60.0,ON
2026-06-29 18:07:46,17.05,2026-06-18,12:00:14,14.0,26.94,48.3,27.91,45.25,1010.35,57489.0,27.47,47.51,1010.58,171812.0,11.0,7.0,20.0,14.0,248.0,28.0,0.0,60.0,ON
2026-06-29 18:07:48,19.31,2026-06-18,12:00:17,17.0,26.92,48.43,27.87,45.3,1010.36,57066.0,27.43,47.54,1010.58,170951.0,10.0,8.0,20.0,14.0,247.0,28.0,0.0,60.0,ON
