timestamp,elapsed_s,temperature_C,humidity_pct,speed_pct
2026-06-10 19:19:19,2.01,27.6,45.68,0.0
2026-06-10 19:19:19,2.01,27.63,45.66,0.0
2026-06-10 19:19:19,2.02,27.63,45.64,0.0
2026-06-10 19:19:19,2.02,27.63,45.72,0.0
2026-06-10 19:19:19,2.02,27.62,45.72,0.0
2026-06-10 19:19:19,2.03,27.62,45.7,0.0
2026-06-10 19:19:19,2.03,27.6,45.68,0.0
2026-06-10 19:19:19,2.03,27.63,45.66,0.0
2026-06-10 19:19:19,2.03,27.63,45.64,0.0
2026-06-10 19:19:19,2.04,-45.0,45.6,0.0
2026-06-10 19:19:20,3.0,27.63,45.6,0.0
2026-06-10 19:19:21,4.05,27.62,45.58,0.0
2026-06-10 19:19:22,5.09,27.63,45.55,0.0
2026-06-10 19:19:23,6.14,27.63,45.56,0.0
2026-06-10 19:19:24,7.18,27.63,45.55,0.0
2026-06-10 19:19:25,8.23,27.63,45.54,0.0
2026-06-10 19:19:26,9.27,27.63,45.52,0.0
2026-06-10 19:19:27,10.32,27.61,45.51,0.0
2026-06-10 19:19:28,11.36,27.62,45.51,0.0
2026-06-10 19:19:29,12.41,27.63,45.49,0.0
2026-06-10 19:19:30,13.46,27.63,45.48,0.0
2026-06-10 19:19:31,14.5,27.6,45.5,0.0
2026-06-10 19:19:32,15.55,27.63,45.48,0.0
2026-06-10 19:19:33,16.59,27.62,45.48,0.0
2026-06-10 19:19:35,17.64,27.6,45.47,0.0
2026-06-10 19:19:36,18.68,27.63,45.7,0.0
2026-06-10 19:19:37,19.72,27.62,46.04,0.0
2026-06-10 19:19:38,20.77,27.62,46.31,0.0
2026-06-10 19:19:39,21.82,27.62,46.49,0.0
2026-06-10 19:19:40,22.86,27.61,46.58,0.0
2026-06-10 19:19:41,23.91,27.63,46.62,0.0
2026-06-10 19:19:42,24.95,27.59,46.61,0.0
2026-06-10 19:19:43,25.99,27.61,46.55,0.0
2026-06-10 19:19:44,27.04,27.6,46.49,0.0
2026-06-10 19:19:45,28.08,27.61,46.42,0.0
2026-06-10 19:19:46,29.13,27.63,46.33,0.0
2026-06-10 19:19:47,30.18,27.62,46.26,0.0
2026-06-10 19:19:48,31.22,27.6,46.18,0.0
2026-06-10 19:19:49,32.27,27.6,46.09,0.0
2026-06-10 19:19:50,33.31,27.61,46.03,0.0
2026-06-10 19:19:51,34.36,27.61,45.96,0.0
2026-06-10 19:19:52,35.4,27.6,45.91,0.0
2026-06-10 19:19:53,36.45,27.59,45.85,0.0
2026-06-10 19:19:54,37.49,27.6,45.8,0.0
2026-06-10 19:19:55,38.54,27.6,45.76,0.0
2026-06-10 19:19:56,39.58,27.6,45.7,0.0
2026-06-10 19:19:58,40.63,27.59,45.67,0.0
2026-06-10 19:19:59,41.67,27.6,45.67,0.0
2026-06-10 19:20:00,42.72,27.6,45.63,0.0
2026-06-10 19:20:01,43.76,27.6,45.61,0.0
2026-06-10 19:20:02,44.81,27.59,45.6,0.0
2026-06-10 19:20:03,45.85,27.61,45.62,0.0
2026-06-10 19:20:04,46.9,27.59,45.75,0.0
2026-06-10 19:20:05,47.94,27.59,45.89,0.0
2026-06-10 19:20:06,48.99,27.59,45.95,0.0
2026-06-10 19:20:07,50.03,27.59,45.99,0.0
2026-06-10 19:20:08,51.08,27.6,46.03,0.0
2026-06-10 19:20:09,52.13,27.6,46.06,0.0
2026-06-10 19:20:10,53.17,27.6,46.07,0.0
2026-06-10 19:20:11,54.21,27.59,46.07,0.0
2026-06-10 19:20:12,55.26,27.59,46.06,0.0
2026-06-10 19:20:13,56.31,27.59,46.03,0.0
2026-06-10 19:20:14,57.35,27.59,45.99,0.0
2026-06-10 19:20:15,58.4,27.58,45.95,0.0
2026-06-10 19:20:16,59.44,27.59,45.95,0.0
2026-06-10 19:20:17,60.49,27.57,45.9,0.0
2026-06-10 19:20:18,61.53,27.58,45.86,0.0
2026-06-10 19:20:19,62.58,27.59,45.85,0.0
2026-06-10 19:20:21,63.62,27.59,45.82,0.0
2026-06-10 19:20:22,64.67,27.59,45.8,0.0
2026-06-10 19:20:23,65.71,27.57,45.77,0.0
2026-06-10 19:20:24,66.76,27.59,45.75,0.0
2026-06-10 19:20:25,67.8,27.59,45.73,0.0
2026-06-10 19:20:26,68.85,27.56,45.72,0.0
2026-06-10 19:20:27,69.89,27.59,45.7,0.0
2026-06-10 19:20:28,70.94,27.59,45.69,0.0
2026-06-10 19:20:29,71.98,27.58,45.67,0.0
2026-06-10 19:20:30,73.03,27.59,45.67,0.0
2026-06-10 19:20:31,74.08,27.56,45.66,0.0
2026-06-10 19:20:32,75.12,27.58,45.66,0.0
2026-06-10 19:20:33,76.17,27.56,45.65,0.0
2026-06-10 19:20:34,77.21,27.58,45.63,0.0
2026-06-10 19:20:35,78.25,27.57,45.64,0.0
2026-06-10 19:20:36,79.3,27.57,45.63,0.0
2026-06-10 19:20:37,80.35,27.57,45.62,0.0
2026-06-10 19:20:38,81.39,27.57,45.62,0.0
2026-06-10 19:20:39,82.44,27.59,45.61,0.0
2026-06-10 19:20:40,83.48,27.56,45.61,0.0
2026-06-10 19:20:41,84.52,27.59,45.61,0.0
2026-06-10 19:20:42,85.57,27.59,45.63,0.0
2026-06-10 19:20:44,86.62,27.56,45.63,0.0
2026-06-10 19:20:45,87.66,27.57,45.64,0.0
2026-06-10 19:20:46,88.71,27.58,45.63,0.0
